ESCUELA BASICA SAN JAVIER DEL BOSQUE,EL BOSQUE,236,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COMPLEJO EDUCACIONAL STELLA MARIS,EL BOSQUE,258,,Más Alto,$25.001 a $50.000 ,P. Subv.
ESCUELA PARTICULAR VILLA EL SOL,EL BOSQUE,280,,Más Alto,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA THE FOREST COLLEGE,EL BOSQUE,273,,Más Bajo,$25.001 a $50.000 ,P. Subv.
COLEGIO PAUL HARRIS SCHOOL,EL BOSQUE,245,,Más Bajo,$25.001 a $50.000 ,P. Subv.
COLEGIO POLIVALENTE SAN AGUSTIN DE EL BOSQUE,EL BOSQUE,269,,Más Bajo,$25.001 a $50.000 ,P. Subv.
ESCUELA Y LICEO LIAHONA,EL BOSQUE,285,,Más Alto,$50.001 a $100.000 ,P. Subv.
COLEGIO PARTICULAR TANTAUCO  EL BOSQUE,EL BOSQUE,288,,Más Alto,$50.001 a $100.000 ,P. Subv.
COLEGIO SANTO TOMAS DE AQUINO,EL BOSQUE,288,,Más Alto,$50.001 a $100.000 ,P. Subv.
ESCUELA BASICA AVIADORES,EL BOSQUE,237,,Más Bajo,Gratuito ,Munic.
ESCUELA BASICA MARIO ARCE GATICA,EL BOSQUE,225,,Más Bajo,Gratuito ,Munic.
COMPLEJO EDUCACIONAL FELIPE HERRERA LANE,EL BOSQUE,201,,Más Bajo,Gratuito ,Munic.
ESCUELA BASICA JOSE MARTI,EL BOSQUE,247,,Más Alto,Gratuito ,Munic.
ESCUELA BASICA VILLA SANTA ELENA,EL BOSQUE,222,,Más Bajo,Gratuito ,Munic.
ESCUELA CIUDAD DE LYON,EL BOSQUE,202,,Más Bajo,Gratuito ,Munic.
ESCUELA BASICA PAUL HARRIS,EL BOSQUE,224,,Más Bajo,Gratuito ,Munic.
ESCUELA NEMESIO ANTUNEZ,EL BOSQUE,231,,Más Bajo,Gratuito ,Munic.
LICEO ELENA CAFFARENA MORICE,EL BOSQUE,241,,Más Alto,Gratuito ,Munic.
ESCUELA MARCIAL MARTINEZ FERRARI,EL BOSQUE,231,,Más Bajo,Gratuito ,Munic.
ESCUELA BASICA BASE EL BOSQUE,EL BOSQUE,251,,Más Alto,Gratuito ,Munic.
ESCUELA GENERAL ALBERTO A. BACHELET MARTINEZ,EL BOSQUE,236,,Más Bajo,Gratuito ,Munic.
ESCUELA BERNARDO LEIGHTON,EL BOSQUE,243,,Más Bajo,Gratuito ,Munic.
ESCUELA CLAUDIO ARRAU LEON,EL BOSQUE,224,,Más Bajo,Gratuito ,Munic.
ESCUELA ORLANDO LETELIER,EL BOSQUE,211,,Más Bajo,Gratuito ,Munic.
CENTRO EDUCACIONAL MATIAS COUSINO,EL BOSQUE,206,,Más Bajo,Gratuito ,Munic.
COLEGIO BATALLA DE LA CONCEPCION,EL BOSQUE,205,,Más Bajo,Gratuito ,Munic.
ESC. BAS. PDTE. SALVADOR ALLENDE G.,EL BOSQUE,216,,Más Bajo,Gratuito ,Munic.
ESCUELA PARTICULAR LOS LAGOS CHILE,EL BOSQUE,199,,Más Bajo,Gratuito ,P. Subv.
COLEGIO LOS ROBLES DE LOS LIBERTADORES,EL MONTE,250,,-,$1.000 a $10.000 ,P. Subv.
ESCUELA BAS. DIVINA PROVIDENCIA,EL MONTE,264,,Similar,$10.001 a $25.000 ,P. Subv.
LICEO POLIV. LUIS HUMBERTO ACOSTA GAY,EL MONTE,230,,Similar,Gratuito ,Munic.
ESCUELA REPUBLICA DEL ECUADOR,EL MONTE,232,,Más Bajo,Gratuito ,Munic.
ESC. BASICA  JAVIERA CARRERA VERDUGO ,EL MONTE,248,,Más Alto,Gratuito ,Munic.
ESCUELA REPUBLICA DE HONDURAS,EL MONTE,255,,Más Alto,Gratuito ,Munic.
ESCUELA CHINIGUE EL CRISTO,EL MONTE,230,,Más Bajo,Gratuito ,Munic.
ESCUELA EL REMANSO,EL MONTE,254,,Más Alto,Gratuito ,Munic.
INSTITUTO SAN FRANCISCO,EL MONTE,244,,Más Bajo,Gratuito ,P. Subv.
