agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,numero_alumnos
2013,1313,ESCUELA CATAN DABIKE,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.56982280,-70.69144688,70
2013,1316,ESCUELA MARIE POUSSEPIN,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.63259629,-70.71806991,528
2013,1318,LICEO DARIO SALAS,SANTA MAR?A,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.74606170,-70.65608241,550
2013,1319,ESCUELA MARIA ESPINDOLA CASTRO,SANTA MAR?A,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.75550046,-70.63512332,96
2013,1321,ESCUELA GUILLERMO BANADOS HONORATO,SANTA MAR?A,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.79443758,-70.62323529,192
2013,1322,ESCUELA LA HIGUERA,SANTA MAR?A,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.71268745,-70.64055070,53
2013,1323,ESCUELA DAVID DEL CURTO,SANTA MAR?A,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.69364282,-70.61382442,78
2013,1325,ESCUELA BASICA AURORA VELASCO PEREZ,SANTA MAR?A,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.73385753,-70.62933904,46
2013,1326,ESCUELA JULIO TEJEDOR ZUNIGA,SANTA MAR?A,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.68333591,-70.59957168,62
2013,1327,COLEGIO SANTA MARIA DE ACONCAGUA,SANTA MAR?A,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.74745623,-70.65634302,757
2013,1328,ESCUELA INDEPENDENCIA,PANQUEHUE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.78335823,-70.85228522,146
2013,1329,ESCUELA EMA LOBOS REYES,PANQUEHUE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.79178811,-70.87126301,172
2013,1330,ESCUELA EL ESCORIAL,PANQUEHUE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.74273829,-70.78514072,57
2013,1331,ESCUELA BASICA FRAY CAMILO HENRIQUEZ,PANQUEHUE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.80357023,-70.89975536,103
2013,1332,ESCUELA BASICA VINA ERRAZURIZ,PANQUEHUE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.79793515,-70.82693834,115
2013,1333,ESCUELA JORGE BARROS BEAUCHEF,PANQUEHUE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.75422885,-70.80900029,148
2013,1335,LICEO POLITECNICO LLAY LLAY,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.84289094,-70.95537738,828
2013,1336,ESCUELA AGUSTIN EDWARDS,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.83884656,-70.94928491,506
2013,1337,ESCUELA HEROES DE IQUIQUE,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.84091307,-70.97164707,116
2013,1338,ESCUELA NACIONES UNIDAS,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.84240168,-70.94336931,159
2013,1339,ESCUELA ELISA LATTAPIAT VARGAS,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.83985975,-70.96292786,237
2013,1340,ESCUELA HERMINIA ORTEGA DE CROXATO,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.83817989,-70.94866142,199
2013,1341,ESCUELA BASICA EL PORVENIR,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.86416756,-70.95119595,179
2013,1342,ESCUELA LAS PALMAS,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.85023467,-70.98156518,45
2013,1343,ESCUELA LAS PENAS,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.87128957,-70.92400447,37
2013,1344,ESCUELA ENRIQUE MEIGGS,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.86657114,-70.84817895,6
2013,1345,ESCUELA LAS VEGAS,LLAILLAY,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.84085847,-71.00008406,36
